runID,realTime,avgPrey,avgPredator,avgResources,avgDrought,randomSeed,memoryUsedBytes
run_001,60.61,13.36,65.21,66.56,0.3,1,5640192
run_002,14.83,12.1,30.17,30.89,0.67,1,5353472
run_003,60.61,10.71,91.63,93.04,0.05,1,5967872
run_004,9.13,2.77,141.87,74.47,0.28,1,5328896
run_005,60.61,43.11,12.31,25.25,0.3,1,5611520
run_006,60.61,13.83,648.92,66.56,0.3,1,5320704
run_007,6.48,2.4,13.44,77.27,0.28,1,5959680
run_008,60.61,13.48,321.03,66.63,0.3,1,5869568
run_009,8.55,4.91,64.18,74.77,0.27,1,5890048
run_010,10.55,4.91,533.74,752.17,0.25,1,6111232
run_011,60.61,13.27,66.9,69.74,0.3,1,5693440
run_012,32.87,11.06,52.69,40.63,0.3,1,5386240
run_013,60.61,13.68,64.93,66.55,0.3,1,5808128
run_014,60.61,13.2,64.31,66.8,0.3,1,5464064
run_015,60.61,10.34,96.79,97.87,0,1,6078464
