timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.003,1,100.25,26.13,99.80,0.00,5.27
0.009,2,100.49,27.30,99.60,0.00,5.27
0.015,3,100.71,28.54,99.40,0.00,5.27
0.021,4,100.92,29.83,99.21,0.00,5.27
0.027,5,101.11,31.19,99.02,0.00,5.27
0.033,6,101.29,32.61,98.82,0.00,5.27
0.039,7,101.45,34.10,98.63,0.00,5.27
0.045,8,101.60,35.66,98.44,0.00,5.27
0.051,9,101.73,37.29,98.25,0.00,5.27
0.057,10,101.84,39.00,98.07,0.00,5.27
0.063,11,101.93,40.79,97.88,0.00,5.27
0.069,12,102.00,42.67,97.70,0.00,5.27
0.075,13,102.05,44.63,97.52,0.00,5.27
0.082,14,102.08,46.68,97.34,0.00,5.27
0.088,15,102.09,48.83,97.16,0.00,5.27
0.094,16,102.07,51.08,96.98,0.00,5.27
0.100,17,102.03,53.43,96.81,0.00,5.27
0.106,18,101.97,55.89,96.64,0.00,5.27
0.112,19,101.88,58.46,96.46,0.00,5.27
0.118,20,101.77,61.15,96.29,0.00,5.27
0.124,21,101.62,63.95,96.13,0.00,5.27
0.130,22,101.45,66.88,95.96,0.00,5.27
0.136,23,101.25,69.94,95.80,0.00,5.27
0.142,24,101.02,73.13,95.63,0.00,5.27
0.148,25,100.76,76.46,95.47,0.00,5.27
0.154,26,100.46,79.93,95.32,0.00,5.27
0.160,27,100.13,83.55,95.16,0.00,5.28
0.166,28,99.77,87.31,95.01,0.00,5.28
0.172,29,99.37,91.23,94.85,0.00,5.28
0.178,30,98.94,95.31,94.70,0.00,5.28
0.184,31,98.46,99.55,94.56,0.00,5.28
0.191,32,97.96,103.95,94.41,0.00,5.28
0.197,33,97.41,108.52,94.27,0.00,5.28
0.203,34,96.82,113.26,94.13,0.00,5.28
0.209,35,96.19,118.18,93.99,0.00,5.28
0.215,36,95.53,123.27,93.85,0.00,5.28
0.221,37,94.82,128.54,93.72,0.00,5.28
0.227,38,94.07,134.00,93.59,0.00,5.28
0.233,39,93.27,139.63,93.46,0.00,5.28
0.239,40,92.44,145.44,93.33,0.00,5.28
0.245,41,91.56,151.44,93.21,0.00,5.28
0.251,42,90.64,157.61,93.09,0.00,5.28
0.257,43,89.67,163.97,92.98,0.00,5.28
0.263,44,88.67,170.50,92.86,0.00,5.28
0.269,45,87.62,177.20,92.75,0.00,5.28
0.275,46,86.53,184.08,92.64,0.00,5.28
0.281,47,85.40,191.13,92.54,0.00,5.28
0.288,48,84.22,198.33,92.44,0.00,5.29
0.294,49,83.01,205.69,92.34,0.00,5.29
0.300,50,81.76,213.20,92.24,0.00,5.29
0.306,51,80.47,220.85,92.15,0.00,5.29
0.312,52,79.15,228.63,92.06,0.00,5.29
0.318,53,77.79,236.54,91.98,0.00,5.29
0.324,54,76.40,244.55,91.89,0.00,5.29
0.330,55,74.97,252.67,91.82,0.00,5.29
0.336,56,73.52,260.88,91.74,0.00,5.29
0.342,57,72.05,269.17,91.67,0.00,5.29
0.348,58,70.54,277.52,91.60,0.00,5.29
0.354,59,69.02,285.92,91.54,0.00,5.29
0.360,60,67.48,294.36,91.48,0.00,5.29
0.366,61,65.92,302.81,91.42,0.00,5.29
0.372,62,64.34,311.28,91.37,0.00,5.29
0.378,63,62.76,319.74,91.32,0.00,5.29
0.384,64,61.16,328.17,91.27,0.00,5.29
0.391,65,59.56,336.57,91.23,0.00,5.29
0.397,66,57.96,344.91,91.19,0.00,5.29
0.403,67,56.35,353.18,91.15,0.00,5.29
0.409,68,54.75,361.36,91.12,0.00,5.29
0.415,69,53.16,369.45,91.09,0.00,5.30
0.421,70,51.57,377.42,91.07,0.00,5.30
0.427,71,49.99,385.26,91.05,0.00,5.30
0.433,72,48.43,392.97,91.03,0.00,5.30
0.439,73,46.88,400.52,91.01,0.00,5.30
0.445,74,45.35,407.90,91.00,0.00,5.30
0.451,75,43.84,415.12,90.99,0.00,5.30
0.457,76,42.35,422.14,90.99,0.00,5.30
0.463,77,40.89,428.97,90.98,0.00,5.30
0.469,78,39.45,435.59,90.98,0.00,5.30
0.475,79,38.05,442.01,90.99,0.00,5.30
0.481,80,36.66,448.21,90.99,0.00,5.30
0.488,81,35.31,454.18,91.00,0.00,5.30
0.494,82,33.99,459.93,91.01,0.00,5.30
0.500,83,32.71,465.45,91.03,0.00,5.30
0.506,84,31.45,470.73,91.04,0.00,5.30
0.512,85,30.23,475.78,91.06,0.00,5.30
0.518,86,29.05,480.60,91.08,0.00,5.30
0.524,87,27.90,485.17,91.10,0.00,5.30
0.530,88,26.78,489.52,91.13,0.00,5.30
0.536,89,25.70,493.62,91.16,0.00,5.30
0.542,90,24.65,497.50,91.19,0.00,5.30
0.548,91,23.63,501.14,91.22,0.00,5.30
0.554,92,22.66,504.56,91.25,0.00,5.30
0.560,93,21.71,507.75,91.29,0.00,5.30
0.566,94,20.80,510.72,91.32,0.00,5.30
0.572,95,19.92,513.48,91.36,0.00,5.30
0.578,96,19.08,516.03,91.40,0.00,5.31
0.585,97,18.26,518.37,91.44,0.00,5.31
